Employee_ID,Age,Department,Satisfaction_Level,Last_Evaluation,Projects,Average_Monthly_Hours,Years_at_Company,Left
949112,58.0,finanCe,0.89,0.54,,999,8.0,
724639,60.0,,0.27,0.74,,290,,0.0
736912,51.0,,0.22,0.08,,999,,
507618,,finanCe,0.84,0.44,2.0,256,,0.0
237760,,Finance,0.21,0.61,7.0,280,1.0,
993080,,Operations,0.53,0.63,,160,,0.0
254499,30.0,Operations,0.88,0.14,3.0,999,10.0,
981033,29.0,,0.2,0.21,,254,,1.0
515599,25.0,Finance,0.88,0.38,,999,,1.0
660578,,Sales,0.69,0.95,5.0,237,10.0,1.0
408195,44.0,IT,0.03,0.47,,999,,0.0
907038,25.0,,0.2,0.23,,150,,
544464,38.0,Sales,0.26,0.35,,999,,1.0
644866,45.0,,0.34,0.83,,999,3.0,0.0
280225,,Sales,0.68,0.75,7.0,999,3.0,0.0
458006,54.0,Finance,0.77,0.64,,308,,
294511,23.0,,0.06,0.44,2.0,999,,0.0
226662,31.0,Hr,0.9,0.28,,999,1.0,1.0
683875,,Operations,0.5,0.89,2.0,189,,0.0
148562,47.0,Hr,0.8,0.62,,999,,
966206,,HR,0.87,0.29,2.0,213,,
442911,,HR,0.32,0.81,,999,,0.0
33699,,Hr,0.17,0.41,3.0,999,1.0,
757220,,Hr,0.3,0.44,7.0,253,8.0,
808419,26.0,Sales,0.31,0.0,,999,5.0,0.0
237886,,HR,0.83,0.97,4.0,233,3.0,0.0
947574,,Sales,0.85,0.65,,174,,0.0
634053,58.0,Sales,0.94,0.13,,190,,
732419,,,0.14,0.38,5.0,301,4.0,0.0
976789,,Operations,0.68,0.47,,269,,
938406,45.0,finanCe,0.47,0.84,,196,6.0,0.0
867523,,Sales,0.76,0.26,7.0,999,9.0,
87288,,IT,0.64,0.08,,304,,0.0
713334,32.0,,0.27,0.66,6.0,999,,0.0
845122,52.0,Hr,0.59,0.12,,999,4.0,0.0
62362,,Operations,0.66,0.76,,999,9.0,1.0
884649,35.0,Finance,0.11,0.58,5.0,274,,0.0
950844,39.0,Finance,0.49,0.55,5.0,213,,1.0
342297,52.0,,0.78,0.59,,999,1.0,0.0
780155,35.0,Sales,0.06,0.58,5.0,260,9.0,0.0
447660,31.0,Finance,0.74,0.44,,294,,0.0
737555,,,0.63,0.08,,202,,
742146,39.0,Finance,0.97,0.95,6.0,155,,0.0
250057,46.0,,0.39,0.32,4.0,999,9.0,
303605,51.0,Hr,0.2,0.91,,999,,0.0
286474,52.0,Sales,0.45,0.91,6.0,999,7.0,0.0
817183,32.0,Operations,0.16,0.42,6.0,999,3.0,1.0
770188,,HR,0.33,0.3,,999,6.0,1.0
42593,,Finance,0.9,0.77,,999,,1.0
463305,33.0,Operations,0.06,0.15,,272,,0.0
390536,56.0,IT,0.31,0.91,5.0,999,,0.0
357445,49.0,IT,0.84,0.7,,999,1.0,
314911,51.0,IT,0.49,0.82,4.0,999,10.0,1.0
344929,46.0,Operations,0.27,0.69,,999,,
427093,58.0,Finance,0.86,0.28,,999,,
668667,,IT,0.69,0.19,3.0,999,,1.0
25584,,Hr,0.4,0.49,6.0,999,10.0,0.0
626972,55.0,Finance,0.91,0.24,,999,,
389438,33.0,HR,0.07,0.71,,224,,
522002,,IT,0.43,0.68,,191,8.0,0.0
678590,38.0,Operations,0.39,0.19,,999,1.0,1.0
684207,,Finance,0.47,0.44,,999,,0.0
861885,,HR,0.16,0.36,3.0,182,3.0,
478209,,Sales,0.38,0.53,,999,1.0,
239683,,Hr,0.47,0.78,,999,7.0,
16993,48.0,Sales,0.14,0.17,5.0,999,3.0,1.0
361419,,HR,0.79,0.39,,999,,
104697,,Hr,0.39,0.73,2.0,229,5.0,1.0
752255,54.0,Sales,0.92,0.67,6.0,259,,0.0
877495,,Finance,0.39,0.1,,999,,1.0
65537,,IT,0.23,0.25,6.0,999,,1.0
836845,54.0,finanCe,0.37,0.38,2.0,226,,1.0
505651,,,0.82,0.82,4.0,999,1.0,
706598,,IT,0.15,0.47,,999,,0.0
760115,60.0,Hr,0.1,0.46,7.0,999,10.0,1.0
662561,,,0.8,0.41,,999,,1.0
823649,,,0.79,0.0,5.0,999,,1.0
587083,,,0.73,0.19,3.0,999,4.0,0.0
699755,44.0,IT,0.87,0.56,6.0,196,,1.0
898397,,Hr,0.32,0.4,,289,,0.0
800128,26.0,,0.6,0.62,,190,,1.0
325212,51.0,Finance,0.74,0.65,,257,,0.0
663083,58.0,finanCe,0.64,0.56,4.0,268,8.0,1.0
236497,,Finance,0.3,0.66,4.0,236,4.0,1.0
123766,46.0,Sales,0.54,0.99,,300,10.0,0.0
933518,,,0.79,0.49,6.0,999,9.0,
930171,,Sales,0.31,0.38,,156,,
674883,48.0,Finance,0.68,0.69,2.0,251,4.0,
784401,57.0,Hr,0.56,0.92,,245,,1.0
797293,54.0,Operations,0.24,0.53,,999,10.0,
935692,48.0,finanCe,0.14,0.49,,999,,1.0
119872,54.0,Hr,0.22,0.01,,999,7.0,0.0
703891,39.0,Sales,0.41,0.49,,999,,0.0
118408,,HR,0.05,0.28,,285,1.0,
49914,37.0,Hr,0.86,0.11,5.0,263,8.0,1.0
329161,27.0,Sales,0.14,0.59,2.0,999,,1.0
361995,25.0,IT,0.92,0.94,5.0,300,,0.0
527184,,Finance,0.24,0.65,,287,2.0,0.0
22338,50.0,Operations,0.3,0.73,,999,,1.0
379448,47.0,Hr,0.03,0.11,5.0,999,5.0,1.0
900111,,Operations,0.83,0.68,5.0,999,,0.0
57716,36.0,Finance,0.52,0.35,2.0,283,,
164329,,Hr,0.44,0.64,,999,,0.0
724865,38.0,,0.08,0.14,4.0,285,,1.0
543403,31.0,Finance,0.36,0.63,,999,5.0,
256673,,,0.42,0.21,3.0,279,,
357622,,HR,0.67,0.36,7.0,243,,1.0
671926,,Operations,0.41,0.24,3.0,999,,
559458,,Hr,0.11,0.65,7.0,999,,0.0
557562,,Sales,0.0,0.74,3.0,999,8.0,0.0
775334,44.0,Sales,0.86,0.36,,999,,
356323,55.0,HR,0.24,0.12,,999,1.0,0.0
563636,,Sales,0.95,0.09,,999,7.0,
790624,,,0.05,0.94,,304,2.0,
671903,36.0,Hr,0.55,0.35,,999,,1.0
468416,,HR,0.17,0.33,,999,,0.0
48091,33.0,Sales,0.37,0.84,3.0,204,4.0,0.0
765871,27.0,Sales,0.42,0.73,5.0,246,,1.0
730802,60.0,Operations,0.55,0.39,7.0,199,,
757308,,Operations,0.95,0.64,,999,8.0,1.0
11617,,IT,0.31,0.93,,999,2.0,
331925,,Operations,0.45,0.88,7.0,303,6.0,1.0
946347,,,0.9,0.72,,214,7.0,0.0
333948,,,0.62,0.81,,999,,
13506,,Operations,0.88,0.63,,999,,0.0
128719,,Hr,0.53,0.24,,999,,0.0
847498,,IT,0.27,0.02,2.0,189,,
743499,22.0,Hr,0.53,0.38,6.0,191,,0.0
906978,37.0,,0.48,0.73,,235,9.0,0.0
530949,,Finance,0.67,0.38,,999,1.0,
681662,,Sales,0.55,0.26,4.0,999,5.0,
628864,,Finance,0.51,0.59,3.0,309,,1.0
698958,,Sales,0.52,0.02,2.0,999,2.0,0.0
892633,26.0,,0.9,0.31,,210,,
179802,60.0,,0.06,0.83,2.0,999,,
976242,22.0,Finance,0.41,0.09,5.0,233,3.0,0.0
571589,,HR,0.01,0.49,,254,,0.0
393793,,IT,0.95,0.53,6.0,290,4.0,
13679,45.0,Operations,0.34,0.14,4.0,999,3.0,1.0
942472,,Sales,0.5,0.44,3.0,196,10.0,0.0
696743,,IT,0.95,0.65,7.0,307,3.0,1.0
472909,27.0,Hr,0.8,0.46,,999,,0.0
996101,38.0,HR,0.82,0.58,2.0,200,6.0,1.0
391872,22.0,Operations,0.36,0.46,,999,6.0,1.0
133886,,,0.96,0.91,7.0,999,7.0,1.0
392555,,HR,0.7,0.9,6.0,999,5.0,
805606,48.0,HR,0.76,0.79,2.0,173,,1.0
536123,,HR,0.33,0.32,,200,9.0,0.0
688962,,,0.28,0.07,,999,5.0,1.0
739818,,Sales,0.84,0.15,,999,10.0,1.0
142191,,HR,0.1,0.76,,271,,
322782,41.0,finanCe,0.42,0.83,,229,6.0,0.0
722144,,Operations,0.79,0.43,5.0,999,,0.0
98586,,,0.3,0.76,,261,,
874046,,Hr,0.48,0.87,,999,3.0,
971286,45.0,Operations,0.34,0.49,,185,1.0,0.0
36044,,Finance,0.58,0.86,,256,2.0,
509884,59.0,Finance,0.9,0.96,4.0,999,3.0,
23479,,Operations,0.04,0.51,6.0,999,,0.0
579006,,HR,0.05,0.4,,257,7.0,0.0
788881,47.0,,0.86,0.45,4.0,152,3.0,1.0
409156,44.0,Hr,0.25,0.91,4.0,274,3.0,
933229,26.0,IT,0.12,0.16,,999,,1.0
717353,,HR,0.22,0.78,,228,,1.0
756768,,Operations,0.59,0.43,6.0,166,,0.0
120972,,Hr,0.76,0.97,,999,9.0,
67397,24.0,,0.58,0.74,7.0,999,5.0,
912863,,,0.2,0.49,,999,,
96168,,Operations,0.48,0.33,,218,3.0,
228843,,Operations,0.41,0.05,,999,5.0,0.0
812740,30.0,Hr,0.19,0.1,,209,,0.0
863792,,Finance,0.04,0.07,,999,,1.0
816994,35.0,,0.47,0.99,3.0,268,,0.0
827132,38.0,Operations,0.76,0.02,,216,10.0,1.0
83959,,Hr,0.03,0.58,,183,,1.0
601511,31.0,Sales,0.87,0.82,,258,9.0,
739758,32.0,IT,0.19,0.5,7.0,291,,
137772,,Sales,0.89,0.12,,277,,1.0
962341,41.0,IT,0.94,0.94,3.0,170,,0.0
631952,49.0,IT,0.23,0.93,2.0,277,3.0,0.0
692596,,Sales,0.23,0.87,4.0,199,,
8757,35.0,Operations,0.43,0.09,,999,1.0,1.0
87341,,Hr,0.08,0.1,,999,,
915910,48.0,Hr,0.93,0.91,5.0,308,,1.0
580288,42.0,HR,0.31,0.0,6.0,229,,
513442,35.0,IT,0.8,0.97,,232,8.0,0.0
361533,48.0,Finance,0.96,0.96,6.0,999,5.0,1.0
926009,37.0,Sales,0.07,0.97,,308,,0.0
992739,48.0,finanCe,0.21,0.53,,282,,1.0
859807,54.0,IT,0.38,0.21,6.0,166,,0.0
628612,53.0,Operations,0.0,0.2,5.0,272,4.0,0.0
938795,60.0,Hr,0.99,0.26,2.0,303,,0.0
15035,,Hr,0.36,0.21,5.0,999,10.0,0.0
972813,,Operations,0.29,0.13,,999,,
66174,58.0,Hr,0.55,0.79,5.0,999,,
682751,56.0,Hr,0.1,0.28,,999,3.0,1.0
131107,,HR,0.02,0.63,,999,,1.0
422803,,Hr,0.06,0.01,4.0,201,,
566014,45.0,Sales,0.34,0.86,3.0,247,9.0,0.0
464633,46.0,IT,0.62,0.52,4.0,279,,0.0
964015,,,0.88,1.0,5.0,999,10.0,1.0
111848,51.0,finanCe,0.82,0.49,7.0,195,,0.0
124349,52.0,,0.04,0.23,2.0,294,,0.0
73600,,Finance,0.1,0.17,,166,8.0,1.0
923957,,Sales,0.88,0.89,,249,,
26850,25.0,,0.9,0.46,,999,,
528205,52.0,HR,0.7,0.67,5.0,999,,0.0
893541,52.0,Sales,0.96,0.45,3.0,999,1.0,1.0
988077,49.0,Sales,0.09,0.58,,225,6.0,1.0
261851,38.0,Hr,0.18,0.45,,155,8.0,
29178,28.0,Operations,0.06,0.27,,999,2.0,0.0
713602,,HR,0.07,0.84,5.0,268,,1.0
922489,41.0,Hr,0.38,0.23,,999,,0.0
455110,46.0,finanCe,0.63,0.26,5.0,154,2.0,
105031,,Operations,0.96,0.48,7.0,999,9.0,1.0
499115,53.0,,0.18,0.75,,196,,1.0
273836,30.0,,0.69,0.3,,240,4.0,0.0
291648,,finanCe,0.5,0.01,6.0,999,,
126299,,Finance,0.83,0.88,2.0,999,,
518912,,finanCe,0.72,0.42,,999,10.0,
560625,48.0,IT,0.62,0.24,3.0,252,,
22713,,,0.09,0.26,3.0,270,9.0,1.0
994974,,HR,0.97,0.81,7.0,999,7.0,
696509,41.0,Operations,0.76,0.46,,999,,
346583,,HR,0.08,0.04,,285,5.0,
817853,,,0.85,0.73,,999,,0.0
595148,48.0,Operations,0.73,0.41,,999,,1.0
627182,,Hr,0.37,0.12,,165,,1.0
699332,,HR,0.17,0.28,,999,,0.0
981212,23.0,Hr,0.6,0.99,2.0,999,,1.0
414617,56.0,Hr,0.64,0.83,7.0,190,,1.0
800102,31.0,Operations,0.07,0.12,5.0,999,3.0,1.0
522662,32.0,IT,0.45,0.02,,229,,0.0
680697,,Hr,0.0,0.52,,999,,0.0
328960,,Operations,0.99,0.25,6.0,999,9.0,0.0
905158,43.0,IT,0.79,0.38,,999,9.0,0.0
376125,,Operations,0.49,0.81,2.0,196,5.0,0.0
241944,26.0,Hr,0.07,0.09,2.0,262,7.0,0.0
81759,,Operations,0.84,0.77,,999,7.0,1.0
847000,,HR,0.5,0.61,2.0,209,2.0,
160355,,HR,0.99,0.09,5.0,999,2.0,0.0
865660,30.0,Sales,0.54,0.72,3.0,189,10.0,1.0
170156,,IT,0.84,0.5,,999,2.0,
820694,,Sales,0.06,0.88,2.0,999,5.0,
932141,,Operations,0.35,0.83,5.0,267,,1.0
912099,,finanCe,0.57,0.3,,161,7.0,0.0
858431,43.0,finanCe,0.77,0.32,7.0,999,,
70194,,HR,0.4,0.56,5.0,999,,1.0
44951,23.0,finanCe,0.9,0.52,3.0,999,8.0,1.0
605540,,Sales,0.49,0.04,,999,10.0,1.0
272418,,HR,0.93,0.42,7.0,303,,1.0
905758,33.0,IT,0.32,0.79,2.0,999,,1.0
846335,,,0.39,0.33,,180,,1.0
462506,38.0,Sales,0.63,0.24,4.0,999,8.0,
608230,,Hr,0.9,0.79,2.0,271,,1.0
501715,22.0,finanCe,0.42,0.6,,999,4.0,
498918,,IT,0.11,0.54,,999,,0.0
699532,,IT,0.78,0.68,2.0,999,5.0,0.0
211395,43.0,HR,0.38,0.95,,999,,0.0
147016,,finanCe,0.78,0.26,,999,,1.0
307570,,Operations,0.99,0.97,7.0,175,1.0,0.0
152765,,,0.82,0.55,2.0,203,,1.0
994154,37.0,Hr,0.21,0.45,,161,1.0,
313410,,IT,0.94,0.13,,999,1.0,0.0
10898,,Finance,0.03,0.9,2.0,999,,
187109,41.0,Sales,0.01,0.33,,269,,
762456,,Sales,0.83,0.48,,999,6.0,1.0
582223,45.0,IT,0.45,0.31,2.0,173,,1.0
958053,33.0,Operations,0.62,0.06,3.0,999,,0.0
71385,29.0,,0.88,0.37,,282,4.0,
425208,26.0,HR,0.86,0.43,,284,8.0,1.0
64962,26.0,IT,0.85,0.85,,999,,
545511,37.0,,0.44,0.82,3.0,999,,1.0
620128,,Hr,0.97,0.27,3.0,208,,1.0
681211,32.0,Finance,0.98,0.37,,277,,
710366,,Hr,0.21,0.11,7.0,264,7.0,
845422,60.0,Operations,0.13,0.95,4.0,999,9.0,0.0
582876,48.0,Finance,0.24,0.75,,300,,
682366,,Operations,0.05,0.52,3.0,999,8.0,0.0
430221,,Operations,0.46,0.0,,999,6.0,
138955,44.0,HR,0.1,0.14,4.0,999,4.0,0.0
237296,,,0.2,0.21,,255,,1.0
519249,43.0,Operations,0.03,0.36,7.0,170,,0.0
726699,51.0,Finance,0.03,0.41,5.0,999,1.0,1.0
257536,,Hr,0.03,0.92,7.0,999,5.0,1.0
951318,,HR,0.97,0.32,2.0,198,,1.0
972947,45.0,IT,0.92,0.19,,310,2.0,1.0
753197,,,0.52,0.27,,999,,1.0
656011,50.0,Sales,0.11,0.67,2.0,277,,
178873,,Operations,0.91,0.92,4.0,999,,1.0
685839,,Operations,0.31,0.7,4.0,196,1.0,1.0
56186,,Sales,0.18,0.38,5.0,999,9.0,0.0
326380,,Finance,0.74,0.3,5.0,262,9.0,0.0
409909,59.0,Sales,0.48,0.18,3.0,999,4.0,
51796,,IT,0.87,0.61,,306,7.0,0.0
774073,,finanCe,0.19,0.41,,220,4.0,1.0
34365,31.0,Hr,0.43,0.6,,999,7.0,1.0
12736,,HR,0.48,0.99,7.0,999,,1.0
746679,32.0,IT,0.53,0.06,,218,1.0,
137035,41.0,IT,0.41,0.34,,186,3.0,
96370,57.0,finanCe,0.55,0.16,,999,10.0,1.0
351822,50.0,HR,0.21,0.88,4.0,999,,
410033,51.0,Finance,0.22,0.08,,195,,
445181,,Hr,0.12,0.52,2.0,199,8.0,0.0
624412,,finanCe,0.69,0.99,,261,,0.0
650193,,Operations,0.57,0.3,2.0,999,6.0,0.0
503749,33.0,Operations,0.31,0.61,3.0,211,6.0,1.0
865488,,Hr,0.37,0.92,5.0,999,,1.0
264714,33.0,Hr,0.54,0.4,,209,1.0,1.0
375681,49.0,Operations,0.15,0.74,,999,,1.0
597822,,Operations,0.38,0.49,,262,,
728865,55.0,Sales,0.4,0.88,,999,,
635633,55.0,Finance,0.45,0.8,,999,6.0,
690493,,Finance,0.18,0.74,,242,,0.0
659588,56.0,HR,0.78,0.3,,999,,
649570,,,0.48,0.45,5.0,999,,1.0
799095,,HR,0.29,0.86,,999,4.0,1.0
656016,,,0.41,0.23,6.0,999,5.0,0.0
231128,,Finance,0.32,0.88,,999,5.0,0.0
993290,28.0,Sales,0.8,0.56,,999,7.0,1.0
627496,51.0,finanCe,0.59,0.59,3.0,227,5.0,1.0
76589,,finanCe,0.36,0.16,,232,,0.0
408118,,HR,0.89,0.95,,203,4.0,0.0
83546,38.0,,0.78,0.54,7.0,999,,
818055,51.0,IT,0.99,0.34,6.0,999,5.0,
74829,28.0,HR,0.88,0.74,4.0,999,10.0,
966601,,HR,0.14,0.17,,999,1.0,0.0
199303,,Operations,0.67,0.88,4.0,261,,1.0
791878,,finanCe,0.61,0.81,,999,4.0,0.0
777911,45.0,IT,0.57,0.21,3.0,279,2.0,1.0
479814,52.0,Hr,0.89,0.75,2.0,288,10.0,1.0
458822,52.0,Hr,0.36,0.18,3.0,261,,
629692,,Hr,0.42,0.85,,302,4.0,0.0
361195,,Hr,0.8,0.32,,999,2.0,0.0
885947,,Operations,0.48,0.41,7.0,999,9.0,
719850,,,0.16,0.38,2.0,200,2.0,0.0
344447,,Hr,0.08,0.74,2.0,999,,1.0
99009,,finanCe,0.47,0.87,,178,,0.0
177211,,IT,0.23,0.89,,999,,0.0
959882,52.0,finanCe,0.95,0.57,6.0,999,6.0,1.0
925741,35.0,IT,0.96,0.49,7.0,999,6.0,
222906,36.0,Operations,0.06,0.84,4.0,266,,
809887,,,0.6,0.09,,280,8.0,
322496,,Sales,0.63,0.91,,999,,1.0
133557,32.0,HR,0.85,0.88,,249,,0.0
783165,31.0,finanCe,0.7,0.02,7.0,999,9.0,
105406,39.0,IT,0.47,0.15,,999,3.0,0.0
879403,,finanCe,0.12,0.17,,299,,0.0
108773,25.0,HR,0.09,0.2,3.0,222,8.0,
832002,55.0,HR,0.63,0.42,5.0,999,3.0,0.0
527555,,IT,0.82,0.95,,268,5.0,1.0
12539,27.0,IT,0.4,0.53,,268,,1.0
23181,,IT,0.47,0.82,6.0,999,,1.0
917230,,Hr,0.02,0.18,2.0,192,6.0,0.0
478484,,IT,0.07,0.4,,999,,1.0
576212,,IT,0.93,0.77,2.0,302,,1.0
662565,,Operations,0.01,0.23,,208,,
848558,,finanCe,0.03,0.24,5.0,999,,1.0
350014,,Operations,0.57,0.29,,297,,
119859,54.0,Finance,0.67,0.15,4.0,999,,
885004,,Finance,0.8,0.16,7.0,298,2.0,
362143,56.0,finanCe,0.46,0.33,,999,,
329761,41.0,,0.73,0.73,5.0,999,,1.0
414445,,,0.67,0.91,,152,,1.0
197800,,finanCe,0.8,0.18,,999,,
777814,30.0,HR,0.98,0.32,7.0,999,,0.0
935826,,Operations,0.59,0.89,5.0,187,7.0,0.0
245729,23.0,IT,0.32,0.8,,178,2.0,0.0
858993,60.0,Operations,0.42,0.24,6.0,244,1.0,
806396,35.0,Operations,0.12,0.21,,999,,1.0
369739,50.0,Operations,0.33,0.51,,184,,
501079,,Finance,0.7,0.28,,999,6.0,1.0
262255,,,0.83,0.23,,286,,
415676,48.0,,0.92,0.33,,238,1.0,
261453,40.0,IT,1.0,0.76,3.0,276,,
215420,22.0,Finance,0.55,0.61,4.0,999,2.0,1.0
450980,40.0,finanCe,0.27,0.85,,999,,
253239,,Sales,0.73,0.22,4.0,267,,1.0
892095,,IT,0.8,0.53,2.0,999,7.0,0.0
862369,42.0,finanCe,0.77,0.95,5.0,255,4.0,
189298,59.0,Sales,0.48,0.38,4.0,241,,1.0
17970,31.0,Hr,0.44,0.68,2.0,253,10.0,0.0
741556,,IT,0.92,0.92,2.0,236,,0.0
397568,26.0,finanCe,0.24,0.74,5.0,153,,
907181,48.0,,0.24,0.7,,250,,
173540,,Operations,0.9,0.33,6.0,999,,
353975,23.0,Hr,0.52,0.06,,999,3.0,
796841,46.0,finanCe,0.27,0.07,,171,,1.0
722621,49.0,HR,0.76,0.93,,999,,
673895,,Sales,0.59,0.42,2.0,999,,
740975,29.0,Finance,0.14,0.3,2.0,215,2.0,1.0
729469,53.0,HR,0.49,0.95,2.0,999,,0.0
343043,42.0,finanCe,0.71,0.59,6.0,277,5.0,
849146,22.0,Operations,0.57,0.6,,305,,
928098,,finanCe,0.33,0.67,,183,,
14652,50.0,Sales,0.27,0.88,,999,1.0,
253542,,HR,0.47,0.27,,217,7.0,
604282,49.0,Finance,0.96,0.12,,999,,1.0
779644,50.0,HR,0.18,0.21,4.0,999,,
700899,40.0,finanCe,0.03,0.66,,167,,1.0
430131,50.0,finanCe,0.38,0.76,,999,7.0,1.0
292804,,finanCe,0.5,0.35,,176,5.0,1.0
790755,25.0,HR,0.02,0.72,,242,,1.0
762840,29.0,IT,0.13,0.54,7.0,211,,0.0
478542,60.0,Finance,0.42,1.0,,248,,1.0
397171,,IT,0.27,0.16,,999,,1.0
412541,,Hr,0.4,0.51,,999,,
909045,25.0,Sales,0.65,0.68,,207,7.0,1.0
931766,,Sales,0.72,0.59,,999,3.0,0.0
423739,,finanCe,0.06,0.07,2.0,999,8.0,
655709,30.0,Sales,0.95,0.21,,999,,0.0
151432,44.0,Sales,0.59,0.07,2.0,999,,
977091,,Hr,0.68,0.88,3.0,999,,1.0
352479,31.0,Finance,0.31,0.76,,999,,
570420,,Sales,0.33,0.31,7.0,999,,0.0
382130,53.0,IT,0.75,0.97,,176,4.0,1.0
140988,42.0,finanCe,0.16,0.21,5.0,999,3.0,1.0
215380,46.0,Sales,0.98,0.14,5.0,153,1.0,0.0
95805,41.0,Hr,0.3,0.06,3.0,181,3.0,
376335,37.0,Operations,0.51,0.23,,222,,
760474,40.0,Finance,0.73,0.8,,999,,
755772,25.0,Sales,0.07,0.42,3.0,999,,1.0
700600,52.0,,0.12,0.98,4.0,275,1.0,
259415,,HR,0.83,0.3,,275,,
412517,,Finance,0.33,0.07,4.0,212,4.0,
546840,36.0,Hr,0.55,0.58,,999,,0.0
465165,,IT,0.3,0.07,,216,7.0,1.0
618266,27.0,IT,0.68,0.87,6.0,309,,1.0
843656,,Sales,0.27,0.14,5.0,999,3.0,1.0
258704,,Sales,0.92,0.43,,172,,0.0
894416,37.0,Finance,0.93,0.87,5.0,999,7.0,
851332,,HR,0.57,0.23,5.0,235,10.0,1.0
84402,38.0,Operations,0.32,0.55,7.0,172,,0.0
419344,,finanCe,0.47,0.22,2.0,999,3.0,0.0
176941,,Sales,0.61,0.04,,209,,0.0
39220,23.0,Operations,0.27,0.05,,999,,
512206,25.0,,0.6,0.5,3.0,999,,1.0
370449,,finanCe,0.97,0.71,,999,3.0,
739164,,HR,0.27,0.65,,305,7.0,
622491,46.0,,0.09,0.06,4.0,288,3.0,
779271,41.0,Operations,0.83,0.92,,999,,1.0
839266,33.0,HR,0.78,0.34,,214,,1.0
804731,50.0,HR,0.22,0.46,3.0,223,10.0,
242509,,Operations,0.73,0.55,,999,6.0,0.0
796932,,HR,0.49,0.47,,999,,1.0
4639,,IT,0.5,0.05,4.0,999,,1.0
511025,40.0,Operations,0.63,0.17,,179,9.0,
734010,,finanCe,0.4,0.39,4.0,999,7.0,0.0
120286,,finanCe,0.51,0.29,,218,9.0,
24666,,Finance,0.56,0.81,,210,2.0,1.0
782801,27.0,Operations,0.4,0.5,,999,,0.0
208587,,HR,0.55,0.36,,268,,
385144,37.0,Operations,0.16,0.26,,269,,1.0
458865,36.0,,0.39,0.54,,999,,1.0
777923,53.0,Hr,0.61,0.77,,229,9.0,
943189,40.0,Sales,0.24,0.46,4.0,208,,0.0
681700,,HR,0.35,0.8,4.0,255,,0.0
106652,31.0,,0.1,0.16,5.0,999,6.0,0.0
818572,,IT,0.11,0.23,5.0,170,1.0,1.0
826435,,finanCe,0.11,0.19,5.0,218,,0.0
926903,39.0,IT,0.21,0.46,,999,3.0,1.0
192061,55.0,Hr,0.6,0.92,6.0,999,,1.0
965490,,HR,0.31,0.73,,305,,
954325,48.0,Hr,0.95,0.26,5.0,999,10.0,
966270,42.0,,0.43,0.11,,999,,1.0
336060,24.0,,0.1,0.91,,228,,0.0
779661,50.0,,0.26,0.82,4.0,305,4.0,1.0
538019,27.0,HR,0.5,0.92,3.0,236,5.0,
48449,24.0,Hr,0.91,0.54,,220,6.0,0.0
966299,29.0,HR,0.06,0.88,2.0,181,,
220157,54.0,finanCe,0.77,0.79,7.0,206,7.0,1.0
780258,33.0,,0.29,0.94,,999,4.0,0.0
883898,44.0,Finance,0.9,0.37,,999,7.0,0.0
81857,,HR,0.8,0.64,,999,10.0,
479911,49.0,Finance,0.48,0.97,4.0,169,,1.0
684825,,Finance,0.55,0.05,,999,5.0,
63694,,,0.02,0.43,7.0,999,3.0,1.0
590322,37.0,,0.91,0.1,,999,2.0,
553513,44.0,finanCe,0.57,0.84,6.0,999,,0.0
189025,,HR,0.95,0.99,,227,,
561083,,IT,0.12,0.33,5.0,999,,1.0
170616,26.0,Hr,0.4,0.42,5.0,999,10.0,
71805,36.0,Hr,0.57,0.71,,185,7.0,0.0
472398,,finanCe,0.81,0.07,,247,,1.0
227580,31.0,,0.7,0.32,3.0,999,,1.0
95902,54.0,Hr,0.75,0.91,6.0,287,,1.0
837777,22.0,IT,0.61,0.76,6.0,999,,0.0
116254,,HR,0.05,0.18,,156,,1.0
882788,,IT,0.72,0.14,5.0,257,,
580592,,HR,0.51,0.85,,999,,
990661,55.0,Finance,0.82,0.34,2.0,999,6.0,1.0
848706,,,0.52,0.98,2.0,293,,0.0
134861,,HR,0.58,0.23,4.0,999,2.0,0.0
832674,,,0.2,0.11,7.0,999,4.0,0.0
743976,49.0,Hr,0.01,0.65,2.0,170,10.0,1.0
729069,,Operations,0.27,0.77,,999,,
550511,34.0,Hr,0.84,0.63,,999,6.0,0.0
657026,38.0,Operations,0.32,0.93,7.0,999,8.0,
463353,42.0,HR,0.83,0.25,2.0,999,5.0,0.0
838411,41.0,Finance,0.37,1.0,7.0,999,,0.0
886470,,Operations,0.46,0.18,,155,6.0,1.0
237358,,Hr,0.65,0.72,,999,,
469685,45.0,Sales,0.9,0.69,,999,5.0,1.0
115325,47.0,Hr,0.44,0.78,4.0,999,6.0,
754835,,Sales,0.96,0.13,,264,6.0,
470186,35.0,HR,0.6,0.09,,266,,0.0
211717,60.0,Sales,0.16,0.1,4.0,192,,0.0
840584,24.0,HR,0.21,0.19,2.0,999,7.0,1.0
476278,43.0,Hr,0.15,0.55,,999,5.0,
348922,,HR,0.73,0.93,7.0,161,,1.0
670359,,Operations,0.11,0.46,,232,,1.0
365741,50.0,IT,0.14,0.68,7.0,999,1.0,
596186,45.0,finanCe,0.75,0.77,,282,2.0,
999421,44.0,Sales,0.61,0.64,7.0,999,6.0,0.0
834969,,Finance,0.92,0.03,5.0,999,10.0,0.0
430918,,Operations,0.45,0.43,,999,,1.0
679043,37.0,,0.74,0.73,,999,1.0,1.0
